numRep	nbrJoueur	txtJ1	b1J1	b2J1	b3J1	b4J1	didJ1	voixJ1	sonJ1	imageJ1	txtJ2	b1J2	b2J2	b3J2	b4J2	didJ2	voixJ2	sonJ2	imageJ2	txtJ3	b1J3	b2J3	b3J3	b4J3	didJ3	voixJ3	sonJ3	imageJ3	txtJ4	b1J4	b2J4	b3J4	b4J4	didJ4	voixJ4	sonJ4	imageJ4	mc1	mc2	mc3	mc4	mc5	mc6	mc7	mc8	mc9	mc10	mc11
		Comme quoi, même des cons peuvent vous sauver !																																														
																																																
72	1		GO																																			meta	musique	corps	son	possibles	seVanter					
			GO				Tenez vous droit/Croisez les mains dans votre dos																																									
			GO				Vous n'avez pas le droit de bouger le bas de votre corps																																									
		Prenons	GO																																													
			GO				Silence																																									
		une tête !	GO																																													
			GO				Regardez tout le monde/Souriez/Choisissez quelqu'un dans l'assemblée et ne le lâchez plus																																									
		Une tête comme la vôtre !	GO																																													
			GO				Attendez que la personne ait une réaction																																									
		Comme la mienne	GO																																													
		Imaginez	GO																																													
		qu'on puisse la fracturer/cette tête	GO																																													
			GO				Regardez la personne que vous aviez choisi/Rassurez la																																									
		sans violence	GO																																													
			GO				Faites-lui un très grand sourire																																									
		sans brutalité	GO																																													
		Et là !	GO																																													
		qu'on se mette à répertorier/les sons qu'on trouve dans cette tête	GO																																													
		Les sons entendus dans une ville/par exemple…	GO																																													
			GO				Regardez tout le monde/Plissez les yeux jusqu'à presque les fermer																																									
		Avez-vous déjà pensé à ça ?	GO																																													
		Pensé/au nombre de sons 	GO																																													
		qui vous percutent/quand vous marchez une journée dans la ville ?	GO																																													
		Sans compter les phrases/percues au hasard	GO																																													
		Les comptines de l'enfance	GO																																													
			GO				Silence																																									
		Et les mélodies qui reviennent/par bouffées	GO																																													
		les rengaines	GO																																													
		VOILA !	GO																																													
			GO				Prenez une grande inspiration																																									
		Nous vivons chaque jour/avec un monde sonore dans la tête	GO																																													
			GO				Souriez en parlant !																																									
		Et maintenant	GO																																													
		imaginez	GO																																													
		que chacun d'entre nous puisse/exteriorisé tout ça	GO																																													
		Ici	GO																																													
		Nous sommes quelques uns	GO																																													
		Et/à un signal donné	GO																																													
		chacun ferait entendre à l'autre/l'univers sonore personnel avec lequel il vit	GO																																													
		Quel programme !	GO				Regardez tout le monde/Attendez une réaction positive																																									
			GO															On entend un concert de sons, bien choisis, bien montés, quelque chose comme une vraie création sonore que tous les participants disponibles, y compris le personnel hors scène, viennent écouter.									On entend un concert de sons, bien choisis, bien montés, quelque chose comme une vraie création sonore que tous les participants disponibles, y compris le personnel hors scène, viennent écouter.									On entend un concert de sons, bien choisis, bien montés, quelque chose comme une vraie création sonore que tous les participants disponibles, y compris le personnel hors scène, viennent écouter.												
		Non ?	GO				Retrouvez la personne que vous aviez choisi et avancez vous vers elle																																									
			GO																																													
		On essaie ? 	GO				Prenez l'éléctrode sur votre droite et allez la poser sur sa tête																																									
																																																
73	1	elle s’en souvient, l’école d’à côté sonnait la rentrée, il faisait froid, ça, oui, il faisait froid. 																																														
		Elle dit que les clients appellent cette femme la femme aux yeux gris,																																														
		que cette femme aux yeux gris a un amant, qu’il la rencontre ici, au Verre Galant. 																																														
		Ils prennent chaque semaine la même chambre. 																																														
		Si cette chambre n’est pas libre, ils n’en prennent pas une autre. 																																														
		Ils restent longtemps dans le café, se tiennent par la main, ne parlent pas.  																																														
		Elle dit qu’ils s’aiment.																																														
		Que même séparés par la petite table du Verre Galant leur corps sont ensemble. 																																														
		Qu’on le sent à l’épaisseur de leur silence. 																																														
		Que c’est un silence intime fait de tous les mots d’accouplement qu’ils ne se disent pas.																																														
		 Elle dit qu’au début elle, - Jeanne -, venait au Verre Galant comme ça,																																														
		sans aucun but. Mais qu’elle a vu la femme aux yeux gris et son amant 																																														
		et que souvent elle revenait pour eux. Pour les voir. 																																														
		Elle dit qu’un jour la femme aux yeux gris est venue seule.																																														
		Que son amant n’était pas avec elle. 																																														
		Que le lendemain elle était revenue et que la femme aux yeux gris elle aussi était revenue. 																																														
		Que son amant n’était pas avec elle. 																																														
		Elle dit que la femme aux yeux gris ne pleurait pas, 																																														
		n’avait pas de tristesse apparente, n’avait rien en elle qui détonne. 																																														
		Qu’elle était là comme si son amant y était aussi.																																														
		 Que le silence qu’elle s’adressait à elle-même était un silence pour deux. 																																														
		Elle dit que parfois la femme aux yeux gris prenait la chambre.																																														
		Qu’elle y restait seule deux heures, parfois trois. 																																														
		Elle redescendait heureuse et fatiguée comme il advient quand l’amour est puissant. 																																														
		Elle dit qu’un jour, la femme aux yeux gris n’est plus venue au Verre Galant, qu’on a reconnu son visage dans le journal.																																														
		Elle avait été arrêtée la veille. 																																														
		On avait retrouvé le corps de son amant dans le fleuve.																																														
																																																
74	2	Je t’aime. 									2																											couple	organique	envolee	sexe	intimite	dialogue	emphase				
		Si tu me mets en toi, je vivrai autant que tu vis. 																																														
		Et quand tu mourras, je mourrai avec toi. 																																														
		Je ne supporte plus l’espace qui nous sépare, fut-il celui, infime, 																																														
		qui se glisse entre nos deux peaux quand collées l’une à l’autre, elles font l’amour.																																														
		Ni le temps dans sa durée qui use ce que nous sommes,  qui nous rendra élimés, 																																														
		fourbus à la fin de notre vie, 																																														
		avec la certitude que le plus beau n’est pas éternel.																																														
											Arrête. 																																					
											C’est trop romantique, pour moi. Tu me fais peur. 																																					
											Dis-moi juste d’enlever ma culotte, ça suffira. 																																					
																																																
75	2	Mon bureau ? 					regarde l'espace tout autour																															obsession	vide	rigueur	cage							
		Un carré, 					regarde l'interlocuteur.			Un mur blanc																																						
		avec une rigoureuse égalité des côtés.																																														
		Je n’ai rien accroché aux murs, 					Un air de dégoût																																									
		tout simplement parce que l’idée de « décoration »																																														
		m’irrite.					Un air convaincu																																									
		L’idée de décoration est minable, 					Avec l'assurance tel un.e spécialiste																																									
		elle a quelque chose d’inessentiel,																																														
		c’est une idée faible, démotivante.																																														
		J’aime la rigueur des murs 																																														
		blancs et nus.					Regarde le mur 																																									
		Les murs blancs et nus m’hypnotisent.																																														
		Un mur blanc et nu					Spirituel																																									
		qu’on regarde longtemps vous aspire, 																																														
		on disparaît, 																																														
		on se dissout, 																																														
		on se fait capter par la force irrésistible du vide.					S'adosse contre le mur																																									
		Souvent 					Semble se fondre dans le mur																																									
		j’ai besoin d’un appel comme celui-là.					Retour dans le réel																																									
		J’ai besoin de mon mur nu et blanc. 					regarde l'interloctueur																																									
		Qu’est-ce que tu veux ? 																																														
											Rien. 					Regarde le mur			Un carré sur fond blanc- Malevitch																													
											Je t’écoute, 																																					
											c’est tout.																																					
																																																
76	2	 J’aurais voulu être un auteur confiant.																																				prophete	meta	bien/mal	recit	desillusion	emphase	theatre	misanthrope			
		 J’aurais aimé écrire un théâtre généreux.																																														
		J’aurais aimé que seuls certains mots aient le droit d’arriver jusqu’à la page, 																																														
		des mots de lumière et de ciel étoilé, des phrases de foi qu’on écoute à genoux.																																														
		 J’aurais aimé que le flux des bons sentiments vienne nettoyer les écuries du pessimisme,																																														
		que l’espérance remplisse le coeur du public au sortir du spectacle.																																														
		 J’aurais été un auteur utile, prophylactique !																																														
		se débarrassant de sa mauvaise conscience en soufflant sur la mauvaise conscience des autres. 																																														
		Deux moins font un plus,																																														
		deux mauvaises consciences feront bien un début de positivité,																																														
		en donneront en tous cas l’illusion.																																														
		Ah, écrire un théâtre qui nie les égoïsmes,																																														
		 un théâtre qui fasse que les spectateurs en sortant se regardent émus d’avoir été si bien à la hauteur du monde,																																														
		de ses misères, de son injustice, de ses inégalités, de sa violence, de sa																																														
		bassesse, 																																														
		pendant deux heures, avant de reprendre le collier quotidien ; 																																														
		d’avoir si bien communié dans la messe des mots généreux et des idées généreuses																																														
		qu’une sorte d’apaisement moral s’ensuit, comme quand on a bien fait son devoir. 																																														
		 J’imagine sans peine le réconfort qu’apporte un théâtre qui réconforte. 																																														
		Fut-ce au prix d’un mensonge.																																														
		Mais un mensonge généreux peut-il vraiment mentir ? 																																														
		Mentir pour le bien, est-ce vraiment la même chose que mentir pour le mal ? 																																														
		Qui pourrait soutenir ça ?																																														
		Pourtant, je m’obstine à voir ce que je voudrais ne pas voir.																																														
		Je m’obstine à dire que nous mangeons et que nous sommes mangés,																																														
		je m’obstine à dire que la passion est sale et propre,																																														
		que notre sécurité est notre vie et notre mort. 																																														
		Tout homme est un ennemi et je suis l’ennemi de tout homme.																																														
		Et je m’obstine à dire qu’amis nous ne le deviendrons qu’en sachant que nous arrachons l’amitié aux griffes de l’inimitié.																																														
		Je n’ai aucune confiance dans l’humanité de mon semblable et je n’ai aucune confiance dans ma propre humanité.																																														
		L’inhumain pourrait faire de moi un inhumain. 																																														
		En revanche, il est facile d’être humain quand rien d’inhumain ne nous sollicite.																																														
		 Si j’écrivais un théâtre généreux, je pourrais au moins séparer le camp du bien et le camp du mal,																																														
		 j’y installerais une frontière nette, sans bavure, sans équivoque,																																														
		 je la soulignerais d’un trait indiscutable, 																																														
		ainsi je me placerais dans le camp du bien puisque je désigne celui du mal, 																																														
		et j’y placerais les spectateurs avec moi et quand … 																																														
																L’homme qui parle est arrêté par quelqu’un qui le bouscule pour prendre sa place et parler à son tour.																																
77	2	Notre amie est morte. 																																				animal	chute	nature	violence	ami	desillusion					
		Et maintenant qu’une partie d’elle-même a disparu et que l’autre vit encore dans notre coeur,																																														
		 on peut penser qu’elle sait des choses que nous ne savons pas, mais est-ce important ? 																																														
		À quoi peut nous servir ici ce qu’elle a appris là-bas ? 																																														
		Le savoir des morts n’est compréhensible et utilisable que par les morts. 																																														
		Nous, on reste seuls, orphelins.																																														
		 Avant, on posait tout sorte de questions aux morts pour qu’ils nous tuyautent sur la vie de là-bas. 																																														
		Tout ça est fini. Nous n’en avons plus l’usage.																																														
		 Nos énigmes sont ici. Elles n’ont de clarté ni chez les morts ni sur la lune.																																														
		 Si tu as des questions, ne les pose pas au ciel, ni aux arbres, ni à l’herbe, ni aux fleurs :																																														
		la nature s’en fout royalement, elle nous recrachera quand elle en aura marre, 																																														
		les animaux le savent qui attendent que nous redevenions animaux nous-mêmes, 																																														
		animaux sans privilège, surtout pas celui d’occuper quelque sommet de la hiérarchie que ce soit. 																																														
		Un jour, nous serons de la viande pour un prédateur que nous ne connaissons pas encore.																																														
											Ça va ? Vous m’avez l’air bien sombre, aujourd’hui ?																																					
																																																
78	3	Allez-y.																																				fort/faible	musique	mepris	spectacle	travail	corps	regard	chute	jeu	violence	desillusion
											Allez-y, quoi ?																																					
		Brillez ! Brillez ! Faites quelque chose de brillant, étonnez-nous, inventez-nous quelque chose.																																														
											Comme ça, tout de suite ?																																					
		 Voulez-vous repasser dans dix ans ? Ou quand les poules auront des dents ?																																														
		Voulez-vous rejoindre au plus vite le placard à balais d’où vous n’auriez jamais dû sortir ?																																														
		 C’est votre affaire. Candidat suivant !																																														
																se rassoit 									(Quelqu’un d’autre se présente. Chante quelque chose. Se trompe dans le texte)																							
		Nul. Vous n’arrivez même pas à retenir votre texte.																																														
																				Donnez-moi une deuxième chance.																												
		Inutile.																																														
																				J’exige une deuxième chance. La première fois, je suis nulle, la deuxième fois, je suis bonne.																												
																																																
		La seconde fois sera aussi nulle que la première. Vous êtes peu créative, ma petite.																																														
		 Étriquée, ma petite. Comment pouvez-vous imaginer interpréter les paroles des autres, 																																														
		vous, avec votre côté mécanique et la douteuse épilation de vos jambes.																																														
		Oui, oui, oui, j’aperçois là un reste de pilosité insolente que l’écran fera voir au monde entier,																																														
		 un poil indu dans le potage du soir. 																																														
		Pensez aux familles scandalisées ! Votre négligence offensera 37 % d’audimat, les téléphones ne sonneront pas pour vous.																																														
		On néglige un détail et l’échec vous mord le coeur.																																														
																				Excusez-moi. Je ne savais pas que ce serait aussi dur. Aussi exigeant.																												
		Mon dieu, ma petite, vous avez l’air d’une fesse qui pend.																																														
																				J’ai tout à apprendre.																												
		Oui, il y en a mille comme vous sur la liste.																																														
																																																
79	2	L’avenir ? 																																				fort/faible	musique	mepris	spectacle	travail	corps	regard	chute	jeu	violence	desillusion
		L’avenir se passera comme ça : le blasphème sera décrété péché majeur, 																																														
		toutes les religions se donneront la main pour nous intimider. 																																														
		Catholiques intégristes, islamistes intégristes, juifs intégristes réclameront le respect de leurs croyances, 																																														
		comme si les siècles passés ne nous avaient pas appris l’urgence de nous battre contre elles.																																														
		 Les bûchers, les grands inquisiteurs renaîtront, l’esprit de superstition nous reviendra lourd et noir.																																														
		 Et quand ils nous auront mis au pas, ils s’égorgeront entre eux, comme ils l’ont toujours fait, 																																														
		comme l’ont toujours fait les guerres de religions, 																																														
		parce qu’il n’y a qu’un Dieu et un seul, n’est-ce pas, 																																														
		c’est le mien, et si tu dis le contraire, je te crève.																																														
											C’est pas bien. C’est pas bien ce que tu dis. 																																					
											Papa ne nous a pas élevés comme ça. Dieu est bon !																																					
																																																
80	1		GO				Iel s'approche de la table et s'y allonge comme sur une / table d'examen médical. 									Tu es assis en face d'ellui, regarde le.																						violence	sexe	fort/faible	obsession	corps	regard	intimite	animal	tentation	plaisir	
		J’aime les hommes qui m’effraient. 	GO																																													
			GO				Temps. Iel commence à glisser de la table jusqu'à ce que / sa tête pende.																																									
		Celui-là avait un oeil d’aigle froid et royal,	GO													Prends des notes dans ta tête																																
		l’éblouissement était si fort ! 	GO																																													
		Et ce type sentait le souffre, il avait sorti ses dents	GO																																													
		pour me sourire, une mâchoire me déchirait en deux. 	GO													Retiens les mots, les phrases																																
			GO				Iel se redresse et fait face à l'homme																																									
		Puis-je vous aider, 	GO																																													
		a-t-il dit, 	GO																																													
		c’était bref, catégorique, comme un désir qui vous poignarde. 	GO																																													
			GO				Iel se lève, contourne doucement l'homme																																									
		La violence fait parfois un bien fou. 	GO																																													
			GO				Un contact dans le dos, qui s'accentue jusqu'à la fin																																									
		Elle vous plante dans le dos les ailes de la résurrection. 	GO													Ne bouge pas 																																
		Ma vie allait mal. 	GO																																													
		J’étais un coeur sur le bord d’une route. 	GO													Tout va bien se passer																																
		Le diable a reconnu sa proie.	NEXT																																													
				GO			Iel sort.									Adosse toi à la table doucement ET ALLONGE TOI																																
				GO																																												
																																																
81	4	 Grandiose.																																														
											Le coeur de l’Europe.																											sexe	musique	politique	plaisir	violence	amour					
																				Et nous ici pour accueillir tout cela.																												
																													Des Polonais, des Finlandais, des Roumains et avec un effort, des Ukrainiens, des Géorgiens																			
		des Turcs																																														
											Sieg Heil ! Sieg Heil ! Sieg heil ! 																																					
																				Nous ne devons plus jamais nous faire du mal, plus jamais.																												
																													Nous sommes une famille dispersée qui doit maintenant se réunir. 																			
		J’ai déjà fait l’amour avec un Bulgare, un Chypriote, 																																														
		un Grec, un Maltais, je ne sais pas si on dit « Maltais »,																																														
		un Luxembourgeois, deux Belges 																																														
		(un flamand et un fédération Wallonie-Bruxelles, 																																														
		mais aux dernières nouvelles ça ne compte toujours que pour un),																																														
		puis un Allemand : mon défi 																																														
		c’est de tester tous les spécimens de mâles européens avant 25 ans.																																														
											Je suis Écossais. Est-ce qu’il y a déjà un Écossais sur votre liste ? 																																					
																				492 millions d’habitants : notre devoir est de peser sur le destin du monde ! 																												
		Sieg Heil, Sieg Heil, Sieg Heil !																																														
											L’empire chinois, l’empire indien, l’empire russe, 																																					
											 l’empire américain, l’empire européen :																																					
											il y a de la bagarre mondiale en perspective.																																					
																				Ma première femme m’a quitté à Venise, 																												
																				j’ai eu un accident à Budapest,																												
																				 j’ai retrouvé la mémoire à Luxembourg,																												
																				 je me suis remarié à Chypre,																												
																				 à Rome j’ai perdu la foi, 																												
																				j’ai rencontré une Portugaise à Berlin,																												
																				 mon gosse est né à Varsovie,																												
																				 j’ai divorcé à Bruxelles,																												
																				 j’ai découvert mon homosexualité à Amsterdam, 																												
																				j’ai travaillé à Copenhague, à Stockholm et à Paris,																												
																				je suis mort à Madrid et enterré à Helsinki 																												
																				 qui est plus européen que moi ?																												
																													Europe était une jeune nymphe, 																			
																													s’il faut quelqu’un pour poser toute nue, je veux bien.																			
		Trop de pauvres, trop de délaissés, trop de pas accueillis, trop de désenchantés.																																														
											Trop de sourds																																					
																				 trop d’aveugles																												
							(Tous chantent l’hymne européen.)																																									
		Freude, schoner Gotterfunken									Freude, schoner Gotterfunken									Freude, schoner Gotterfunken									Freude, schoner Gotterfunken																			
		Tochter aus Elysium									Tochter aus Elysium									Tochter aus Elysium									Tochter aus Elysium																			
		Wir betreten feuertrunken,									Wir betreten feuertrunken,									Wir betreten feuertrunken,									Wir betreten feuertrunken,																			
		 Himmlische, dein Heiligtum!									 Himmlische, dein Heiligtum!									 Himmlische, dein Heiligtum!									 Himmlische, dein Heiligtum!																			
		Deine Zauber binden wieder									Deine Zauber binden wieder									Deine Zauber binden wieder									Deine Zauber binden wieder																			
		Was die Mode streng geteilt;									Was die Mode streng geteilt;									Was die Mode streng geteilt;									Was die Mode streng geteilt;																			
		Alle Menschen werden Bruder,									Alle Menschen werden Bruder,									Alle Menschen werden Bruder,									Alle Menschen werden Bruder,																			
		Wo dein sanfter Flugel weilt.									Wo dein sanfter Flugel weilt.									Wo dein sanfter Flugel weilt.									Wo dein sanfter Flugel weilt.																			
																																																
82	2						avance vers le centre 																																									
							prends l'oreillette et mets la dans ton oreille																																									
							tu es très fatiguée																																									
							tu étires tes bras																																									
							une personne vient																																									
							laisse-toi faire																																									
							elle va te guider, prendre soin de toi																																									
							regarde les candidats assis autour de toi																																									
							ils ne peuvent pas t'entendre																																									
							l'oreillette te pose une question																																									
							réponds																																									
		Pourquoi la reconnaissance 																																				jeu	fort/faible	illusion	mepris	corps	representation	regard	argent	ascension	bien/mal	corrompu
		ne va-t-elle jamais																																														
		 à celle qui la mérite ?																																														
		Pourquoi ? 					ton corps te fait mal																																									
		Même mon propre frère 					il t'a blessée																																									
		m’accuse régulièrement de travailler à l’encrassement des esprits					tu as mal partout																																									
		parce que j’anime un jeu télévisé.					tu mens																																									
		 Jugement lamentable.					l'oreillette te demande ce que tu lui as répondu, 																																									
							rejoue la réponse																																									
																																																
		Je suis un fournisseur, moi, je fournis. 																																														
		Je n’impose à tous 					étire tes bras																																									
		que le goût de tous					touche ton dos																																									
		et je suis couverte de sueur, 					dégoût																																									
		pourquoi ? 					donne un ordre à la personne à ta droite																																									
		La nuque me fait mal,					touche ta nuque																																									
		pourquoi ?					donne un ordre à la personne à ta droite																																									
																																																
							étire ta nuque																																									
							Regarde les candidats.																																									
		Mon doigt désigne les candidats.					Pointe la femme en face de toi.																																									
		 Je dépose					Approche toi d'elle.																																									
		une goutte d’élixir sur leurs paupières. 					Regarde-la.																																									
		Ils n’étaient rien,																																														
		 je les fais rois, reines d’un jour.																																														
																																																
		 Je suis le sel de leur vie. 					Relève la tête.																																									
		Eux pourtant me flairent comme des bêtes méfiantes					Recule un peu, vers le centre.																																									
		 qui repèrent instinctivement leur ennemie. 					Balaie-les tous du regard.																																									
		Il est vrai que je les méprise. 																																														
		Et ils se haïssent entre eux, 					Arrête-toi sur l'un d'entre eux. Regarde-le dans les yeux.																																									
		et ils se haïssent eux-mêmes.					Regarde son voisin.																																									
		Mais qu’importe. 					Retourne toi.																																									
		Une fois à l’écran,					Marche avec énergie vers le centre.																																									
		nous sourions, détendus, obstinément gais,  					Élève la voix.																																									
		rôdés aux meurtres de la vie, 					Fais de grands gestes avec tes bras.																																									
		boute-en-train, euphoriques,					JOIE																																									
		messieurs dames, bonjour ! 					Vite, tourne-toi sur ta gauche ! Parle à la caméra.																																									
		Bienvenue, 					Élève la voix.																																									
		bienvenue 					Souris.																																									
		au grand jeu de la fortune !					Fais le tour du cercle en dansant.																																									
																																																
83	1	Voyons les choses ainsi, voyons le matin,																																				plaisir	desir	corps	photo	organique	intimite	nu	couple	amour 		
		 la lumière pâle du soleil de novembre, 																																														
		et les corps de ces deux-là chauffés dans la nuit d’amour, 																																														
		un affrontement terrifiant, il faut le dire.																																														
		Chacun cherche son plaisir dans l’autre,  chacun dit « je te prends », 																																														
		et prenant, prend chez elle, chez lui, la part de vie qui lui revient.																																														
		Prend dans l’avidité, par coups de ventre et de dents,																																														
		prend, donne, et maintenant comme ceci et maintenant comme ça,																																														
		 jambes et têtes mélangées, tout ça bouche ouverte pour crier et pour avaler, 																																														
		et pour murmurer « mais surtout ne me dis pas ton nom »,																																														
		 - et « surtout ne me dis pas le tien » -, - oui viens, viens encore -,																																														
		 et les heures roulent d’un sexe à l’autre, battues, fendues, entrecoupées de courts repos.																																														
		Et puis ça repart de plus belle.																																														
																																																
84	1		GO				s'asseoir face � un partenaire																															discours	couple	mepris	perspective	ecrasement	fort/faible					
			GO				tourner le t�l�phone � la verticale																																									
			GO				tourner le t�l�phone � l'horizontale																																									
			GO				tourner le t�l�phone � la verticale																																									
			GO				tourner le t�l�phone � l'horizontale																																									
		Le sens !  	GO				regarder son partenaire dans les yeux																																									
		Quel sens ? De quel sens parle-t-on ?	GO																																													
		Dans un mot, il y a mille sens.	GO																																													
		L��poque, le moment, le lieu, la situation o� le mot est prononc� / entra�nent avec eux des diff�rences.	GO																																													
		 Parfois, infimes, je suis d�accord,	GO																																													
		mais diff�rences quand m�me.	GO				Bref silence																																									
			GO																																													
		� Assiette �, � confiture �, � caf� � / prononc�s le matin ne sonnent pas pareils que	GO																																													
		� assiette � � confiture � � caf� � prononc�s � minuit. 	GO																																													
		L�assiette de minuit  a quelque chose / de plus mondain que l�assiette du matin,	GO																																													
		la confiture semble �trange � cette heure	GO																																													
		et le caf�,	GO																																													
		certains d�entre nous qui le consomment le matin le rejettent le soir.	GO																																													
		 C�est ainsi. 	GO				Tr�s affirm�																																									
		Et, crois-moi, il en va de m�me pour les phrases. 	GO				"Insister sur ""crois-moi"""																																									
		�mise par un black d�ici, un black d�Afrique,/ un arabe, un europ�en du nord ou un chinois, 	GO																																													
		la m�me phrase se teintera de connotations diff�rentes voir oppos�es. 	GO																																													
		L�expression � �tat d�Isra�l �  	GO				d�couper chaque mot 																																									
			GO				bref silence																																									
		n'a pas le m�me sens pour un Palestinien / et pour un Isra�lien.	GO																																													
		Ni pour un militant des droits de l�homme / ni pour un raciste. 	GO																																													
		Et dans plus d�un � je t�aime � prononc� dans le monde, / une oreille un peu pr�venue 	GO																																													
		"peut facilement distinguer le "" je t'emmerde"" / qui court en arri�re fond."	GO																																													
			GO				Bref silence																																									
		 Mais pas toi.	GO																																													
		Toi,	GO																																													
		tu as l'�coute r�solument monos�mique.	GO																																													
		Toi, tu n�entends pas plus loin que le bout de tes oreilles.	GO																																													
		Finalement,	GO																																													
		tu es le genre de type qui croit b�tement dominer le langage	GO																																													
		quand il a dit qu�un oeuf est un oeuf. 	GO																																													
		Et pas une seconde ne te vient � l'id�e que lorsque je te dis	GO																																													
		� mon ch�ri,/ je suis d�sol�e,/ je rentre un peu tard �, 	GO				avec douceur																																									
		tu dois entendre	GO																																													
		� pauvre naze,/ si tu as le malheur de me demander d�o� je viens � cette heure,/ je t�en colle une �.	GO				avec douceur																																									
																																																
85	2	Je n’implore pas, je menace. 																																				revolution	mensonge	famille	mort	fort/faible	renversement	meurtre	politique	chute	condamnation	
		Ne vous en déplaise, il ne viendra jamais le temps où nous accepterons la vieille fable :																																														
		chacun a sa place sur le bateau, les uns aux commandes, les autres à la soute, 																																														
		et malgré ces conditions différentes, nous avancerions ensemble vers un même but.																																														
		 Foutaise ! Mensonge ! Un chien qui mange les miettes est nourri, mais il reste un chien.																																														
		Je ne veux pas de ça pour moi, pour ceux que j’aime, mes enfants, mes semblables.																																														
		 Je ne veux pas. Je vous menace, monsieur parce que vous me voulez du mal.																																														
		 Votre libéralisme détruit notre existence.																																														
											Allez-vous me tuer ?																																					
		Oui, si le tribunal du peuple le décide.																																														
																																																
86	1	Déployez le tapis ! C'est un ami.																																				ami	hypocrisie									
		 Il faut considérer cet homme comme un ami.																																														
		Inscrivez dans vos cervelles : un ami nous rend visite. Un ami. 																																														
		Vous aussi, je vous aime comme des amis.  																																														
		Ne l'oubliez jamais.																																														
		Ne m'obligez pas à vous le rappeler toutes les dix minutes.																																														
																																																
87	4		GO				Vous êtes le narrateur					GO				Vous êtes le père du narrateur					GO				Vous êtes le contradicteur					GO				Vous êtes la mère du narrateur														
		Photo N° 30 :	GO																																													
		La chute d’Icare.	GO																																													
			GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"		GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"		GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"		GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"											
		J’ai neuf ans à peine.	GO																																													
			GO				Marchez lentement dans l'espace / tout en continuant vos répliques					GO				Marchez lentement dans l'espace / aux côtés du narrateur									Vous êtes spectateur de la scène / mettez vous à l'écart									Vous êtes spectateur de la scène / mettez vous à l'écart														
		Ce matin d’anniversaire, / nous marchons dans une aube d’automne / aux feuilles de marronniers jaunies.	GO																																													
			GO						LaReineDeLaNuit			GO																																				
		Mon papa s’arrête,	GO						LaReineDeLaNuit							Arrêtez-vous		Une ambiance de foret									Une ambiance de foret									Une ambiance de foret												
		me prend par la main,	GO				Arrêtez-vous		LaReineDeLaNuit			GO				Prenez la main du narrateur																																
		me serre contre lui.	GO				Regardez votre père dans les yeux / Vous êtes désormais le narrateur enfant		LaReineDeLaNuit			GO				Serrez le narrateur contre vous / comme s'il était votre enfant																																
			GO				Puis regardez les autres joueurs / avec étonnement		LaReineDeLaNuit			GO				Figez vous comme si vous étiez dans une photographie																																
		C’est un comportement exceptionnel !	GO				Regardez simultanément votre père et les autres joueurs, vous êtes complètement surpris		LaReineDeLaNuit																																							
			GO				Reprenez votre sérieux		LaReineDeLaNuit																																							
		Habituellement, l’homme est	GO						LaReineDeLaNuit																																							
		peu sentimental,	GO						LaReineDeLaNuit																																							
		très pudique.	GO						LaReineDeLaNuit																																							
			GO				Un silence		LaReineDeLaNuit																																							
		Donc, moi,	GO						LaReineDeLaNuit																																							
		tête contre sa poitrine.	GO				Eteingnez votre père imaginaire / et posez votre tête contre son torse imaginaire		LaReineDeLaNuit																																							
		Et lui	GO						LaReineDeLaNuit			GO				Vous pouvez de nouveau vous mouvoir / regardez votre enfant dans les yeux																																
		qui dit :	GO						LaReineDeLaNuit			GO	NEXT			Prenez la voix de ce que vous imaginez être le père																																
			GO						LaReineDeLaNuit		je dois te parler / de la souffrance infinie de l’homme / qui marche et ne peut pas voler .	GO																																				
		Voler ?	GO				Prenez la voix d'un.e enfant																																									
		Voler comme les oiseaux ?	GO									GO				Faites oui de la tête																																
		Il fait oui de la tête.	GO				Reprenez la voix du narrateur																																									
		Dit encore que	GO									GO	NEXT																																			
											Le plus grand tourment de l’homme / est de n’avoir que deux petits bras / pour saisir l’univers.	GO																																				
											Regarde !	GO																																				
											Sortez de votre poche une carte postale imaginaire	GO																																				
		Sort de sa poche		NEXT							Montrez là au narrateur	GO																																				
		une carte postale.	GO				Prenez la carte postale / et montrez là aux autres joueurs																																									
		Le peintre Bruegel a peint ce tableau :	GO				brandissez bien haut votre carte postale imaginaire																																									
		La chute d’Icare.	GO																																													
			GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"		GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"		GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"		GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"											
		Dit soudain :	GO										NEXT																																			
											Icare,	GO																																				
											c’est moi.	GO																																				
											Je souffre d’exiguïté.	GO																																				
											Je suis enfermé	GO																																				
											dans une	GO																																				
											boîte.	GO																																				
											Je veux l’envol,	GO																																				
											je veux me voir voler,	GO																																				
											voir la boîte où je suis enfermé,	GO																																				
											voir	GO																																				
				NEXT							dans quel univers cette boîte m’enferme.	GO																																				
